timestamp,open,high,low,close,volume
2022-01-28,133.1900,134.5300,131.7900,134.5000,5471497
2022-01-27,133.6600,134.7500,132.0800,132.5200,5499566
2022-01-26,136.4700,137.0700,133.1300,134.2600,8335992
2022-01-25,129.1400,137.3361,128.3000,136.1000,19715698
2022-01-24,127.9900,129.1500,124.1930,128.8200,13777648
2022-01-21,131.6500,131.8700,129.2700,129.3500,5906950
2022-01-20,131.2600,132.8800,130.5705,130.8200,5278244
2022-01-19,132.9000,133.9000,131.5000,131.5800,4099035
2022-01-18,132.9500,133.8900,131.7800,132.9400,5236258
2022-01-14,134.5500,135.1400,133.3000,134.2100,5310305
2022-01-13,133.9000,136.0500,133.5600,134.7600,4868349
2022-01-12,133.2500,134.4700,131.3700,133.5900,5352014
2022-01-11,130.5200,133.2500,127.9700,132.8700,11081210
2022-01-10,134.4700,136.2000,133.3800,135.0300,5432807
2022-01-07,134.9000,135.6618,133.5111,134.8300,5238099
2022-01-06,138.2000,138.4099,132.5100,135.3400,9908081
2022-01-05,138.3100,142.2000,137.8800,138.2200,8956910
2022-01-04,136.1000,139.9500,135.9000,138.0200,7300011
2022-01-03,134.0700,136.2950,133.6300,136.0400,4610665
2021-12-31,134.0000,134.9900,133.6100,133.6600,3315313
2021-12-30,133.7500,134.3700,133.3300,133.9100,3158111
2021-12-29,132.4000,134.2100,132.3000,133.3500,4239935
2021-12-28,131.6000,133.2200,131.5900,132.6300,3447079
2021-12-27,130.6300,131.6500,129.9500,131.6200,4294499
2021-12-23,130.0000,130.9600,129.5200,130.6300,3649044
2021-12-22,129.0600,129.7900,127.6000,129.7500,3923198
2021-12-21,127.6600,129.3356,127.6600,128.9700,4855972
2021-12-20,125.7200,127.2000,124.7000,127.0600,4941411
2021-12-17,125.8700,128.6400,125.2093,127.4000,10382693
2021-12-16,123.5100,126.6399,123.4750,125.9300,7280537
2021-12-15,123.8000,124.8150,122.1800,123.1100,4990028
2021-12-14,122.3500,125.0300,122.3000,123.7600,5716124
2021-12-13,123.7600,124.3554,120.7900,122.5800,6847468
2021-12-10,124.3000,125.3300,123.3600,124.0900,4966921
2021-12-09,122.1500,123.9500,121.7900,123.5700,4601092
2021-12-08,122.0000,123.3800,121.5200,123.0200,5483948
2021-12-07,120.4750,122.0800,120.0700,121.5800,5193991
2021-12-06,119.4000,121.1500,119.4000,119.9100,4785560
2021-12-03,117.3600,119.3600,117.3600,118.8400,6630139
2021-12-02,117.3700,117.9800,116.5600,116.9000,5267149
2021-12-01,118.2500,118.9300,116.8500,116.9200,5959867
2021-11-30,117.5000,119.2399,116.4500,117.1000,9252701
2021-11-29,118.6200,119.6100,117.5300,118.5000,8949795
2021-11-26,115.0000,116.3350,114.5600,115.8100,3322012
2021-11-24,116.1600,117.2700,116.0800,116.7300,3220802
2021-11-23,116.7900,117.9400,116.0400,116.7900,4914995
2021-11-22,116.0000,118.8100,115.1900,116.4700,6417218
2021-11-19,116.4900,116.5600,115.2700,116.0500,5384548
2021-11-18,118.3600,118.3600,116.3100,116.6600,5047879
2021-11-17,118.3800,119.3300,117.7800,118.0600,4043289
2021-11-16,118.9200,119.9000,118.4200,118.4600,4750760
2021-11-15,119.5400,120.1600,118.3100,118.8700,5046321
2021-11-12,120.0000,120.6400,118.7800,118.9600,5376966
2021-11-11,120.9000,121.7894,120.0800,120.2700,4643257
2021-11-10,121.0000,122.4300,119.9320,120.2200,6268961
2021-11-09,122.5600,122.9000,120.2600,120.8500,7195453
2021-11-08,123.9850,124.7800,123.5300,124.5400,5625275
2021-11-05,121.4300,123.7700,121.4300,123.6100,6790478
2021-11-04,123.0500,123.3400,119.9000,120.8500,7208736
2021-11-03,126.2300,127.2900,125.6800,127.1300,5421406
2021-11-02,126.3000,127.1700,124.9100,126.1800,4496393
2021-11-01,125.0500,126.3100,123.8375,126.2800,5874767
2021-10-29,125.4300,126.3200,124.9100,125.1000,5916789
2021-10-28,125.1700,126.3100,124.6200,125.8400,6503003
2021-10-27,127.4400,127.8800,125.0100,125.1700,6973432
2021-10-26,127.5200,128.3000,126.7550,127.1300,8520872
2021-10-25,127.5300,128.6500,126.9400,127.6400,6374038
2021-10-22,128.0500,130.2500,126.6110,127.8800,11582195
2021-10-21,133.5100,133.7200,128.1000,128.3300,31466529
2021-10-20,141.6800,142.2000,140.7000,141.9000,6189255
2021-10-19,141.0800,142.9400,140.5201,141.9800,4339548
2021-10-18,144.0000,144.9400,141.7590,142.3200,6154055
2021-10-15,143.3900,144.8500,142.7900,144.6100,3222778
2021-10-14,141.0400,143.9200,141.0100,143.3900,4217305
2021-10-13,140.5200,141.4100,139.6600,140.7600,2880747
2021-10-12,142.2100,142.3000,140.3000,140.4700,3148559
2021-10-11,143.5000,144.0800,142.4000,142.4300,2793298
2021-10-08,141.8100,143.6500,141.0500,143.2200,3731279
2021-10-07,142.7300,143.3950,141.5300,141.8100,3823803
2021-10-06,142.4800,143.3700,140.8900,142.3600,5328433
2021-10-05,144.7500,145.0000,142.6400,143.1500,6976648
2021-10-04,142.7400,146.0000,142.3501,144.1100,7351128
2021-10-01,141.0000,143.9700,140.3700,143.3200,6604064
2021-09-30,140.0000,140.5700,138.5000,138.9300,5824431
2021-09-29,137.7300,139.9300,136.4400,139.1800,3774236
2021-09-28,139.1700,139.6880,137.2100,137.4700,4314595
2021-09-27,137.9600,139.0650,137.4800,138.5600,3306865
2021-09-24,137.0300,138.4800,136.7500,137.4900,2964397
2021-09-23,135.2500,137.4200,135.0300,136.7300,3013238
2021-09-22,133.7200,135.3700,133.4700,134.6300,3602416
2021-09-21,135.1100,135.6500,132.9400,132.9700,4074528
2021-09-20,133.9000,135.1800,132.7800,134.3100,4770651
2021-09-17,135.7500,135.9199,135.0500,135.2300,5633480
2021-09-16,137.2800,137.9500,135.7100,136.4300,2643975
2021-09-15,136.2200,137.8000,135.6700,137.2000,3254122
2021-09-14,138.4000,138.5700,135.3400,136.2200,4454291
2021-09-13,138.4000,138.9900,137.5100,138.1500,4144345
2021-09-10,138.8200,139.3699,137.0000,137.0200,3975115
2021-09-09,137.8500,138.9600,137.5550,137.7400,3508363
2021-09-08,138.1400,139.0900,137.6000,138.6700,2985409
